G,speed,plvD_r,aecD_r,plvT_r,aecT_r,plvA_r,aecA_r,plvB_r,aecB_r,plvG_r,aecG_r,Average,PLVavg,AECavg
17,6.7,0.196832938,0.231687018,0.307026267,0.378396538,0.374720471,0.253624331,0.276299333,0.242787125,0.150754162,0.250096405,0.266222459,0.261126634,0.271318283
15.2,4.3,0.120992304,0.210818453,0.319684871,0.350832759,0.280460964,0.186452447,0.290932442,0.340993641,0.284878696,0.274421544,0.266046812,0.259389855,0.272703769
16.4,5.5,0.198460544,0.163496762,0.334724975,0.328808283,0.410423929,0.201818902,0.279628563,0.289737884,0.200852374,0.249937305,0.265788952,0.284818077,0.246759827
17.2,7.5,0.190477896,0.205053862,0.28036383,0.364009875,0.303156631,0.311474129,0.265657981,0.322730785,0.146502581,0.25765521,0.264708278,0.237231784,0.292184772
17,7.5,0.237709204,0.168631878,0.28032415,0.335499588,0.304116168,0.248354799,0.295539458,0.321310224,0.145858947,0.306363214,0.264370763,0.252709585,0.276031941
17.4,6.3,0.234135365,0.210455061,0.242910991,0.361273336,0.333350978,0.354222821,0.222221702,0.300962219,0.217059105,0.159380846,0.263597242,0.249935628,0.277258857
14.4,3.1,0.22304593,0.188445187,0.340690471,0.313386842,0.278231344,0.192897661,0.291213937,0.298720701,0.251925934,0.249504861,0.262806287,0.277021523,0.24859105
15.8,3.9,0.147010052,0.23311942,0.311963648,0.350629996,0.366570667,0.22591592,0.232575381,0.251222086,0.280055386,0.222810478,0.262187303,0.267635027,0.25673958
16.8,4.3,0.201717863,0.187502872,0.29986307,0.33798653,0.376017322,0.30609168,0.241612223,0.279500197,0.203908189,0.184626648,0.261882659,0.264623733,0.259141585
16.4,2.7,0.295084258,0.229965725,0.285469899,0.344016929,0.359644922,0.290959541,0.170422659,0.253477344,0.248396676,0.137839778,0.261527773,0.271803683,0.251251863
16.8,6.7,0.166775626,0.173103117,0.30551897,0.362332855,0.341514005,0.274879937,0.295700939,0.243621532,0.19863173,0.251069647,0.261314836,0.261628254,0.261001418
17.2,7.1,0.196080288,0.206735807,0.250441474,0.371047853,0.279718214,0.334640631,0.254006547,0.298602682,0.181923497,0.238902799,0.261209979,0.232434004,0.289985954
17.8,9.9,0.27583327,0.096050131,0.252730173,0.372569014,0.320944304,0.426488448,0.227514852,0.310787943,0.168074424,0.152790299,0.260378286,0.249019405,0.271737167
16.8,6.3,0.185128149,0.177865914,0.326055157,0.339603117,0.363244073,0.253313171,0.296851789,0.231980427,0.188139972,0.240279599,0.260246137,0.271883828,0.248608446
17.6,8.3,0.258390602,0.150030485,0.273834936,0.305988955,0.341876498,0.396395058,0.262020629,0.284459124,0.186466769,0.14090649,0.260036955,0.264517887,0.255556022
16,4.7,0.135733993,0.237447564,0.310018914,0.33220139,0.379695994,0.225908976,0.248314349,0.263186749,0.23965135,0.225156511,0.259731579,0.26268292,0.256780238
17,5.1,0.201748179,0.150477009,0.276002669,0.356769707,0.331769446,0.316540869,0.254778262,0.305256439,0.204943186,0.198878235,0.2597164,0.253848348,0.265584452
15.4,4.3,0.153798815,0.158572071,0.285703617,0.326641185,0.331309822,0.224481236,0.283400153,0.321911509,0.269700234,0.240756898,0.259627554,0.264782528,0.25447258
17,4.7,0.252629657,0.200943486,0.282439223,0.35079225,0.339589736,0.284942626,0.249916131,0.295044189,0.195705704,0.142728855,0.259473186,0.26405609,0.254890281
15.6,3.5,0.197077181,0.197206821,0.334700699,0.334285895,0.393922237,0.201089918,0.231950416,0.217777637,0.28144951,0.203962939,0.259342325,0.287820009,0.230864642
17.6,9.5,0.216091648,0.179021679,0.288004494,0.349681346,0.318010897,0.3226325,0.263772594,0.308843551,0.199634512,0.147558173,0.259325139,0.257102829,0.26154745
14.2,3.1,0.257589731,0.13208427,0.343182003,0.250144139,0.310112548,0.189156523,0.31893352,0.291407689,0.263154945,0.235288296,0.259105366,0.298594549,0.219616183
17.2,9.1,0.195985056,0.119866959,0.344277286,0.331086644,0.334868441,0.212849042,0.307321191,0.290247144,0.214914283,0.239455486,0.259087153,0.279473251,0.238701055
15.6,4.3,0.263717774,0.114207796,0.360559926,0.258751747,0.369621903,0.249591846,0.256820711,0.268523166,0.23719373,0.211084611,0.259007321,0.297582809,0.220431833
17.2,5.5,0.238950784,0.221340503,0.256386593,0.333829105,0.326069895,0.29673837,0.233509584,0.298665584,0.190591469,0.192435513,0.25885174,0.249101665,0.268601815
